strategy_id,folder,asset_key,status,baseline_rr,selected_rr,baseline_profit_factor,selected_profit_factor,trades,total_r
competition_gbp_jpy_london_first30_last30_momentum_weekday_side_4_long_6a554e5f,competition_gbp_jpy_london_first30_last30_momentum_weekday_side_4_long_6a554e5f,gbp_jpy,replaced,1.000000,2.000000,2.800876,2.800876,81,19.077847
competition_gbp_jpy_london_first30_last30_reversal_weekday_side_4_long_ef0c2df3,competition_gbp_jpy_london_first30_last30_reversal_weekday_side_4_long_ef0c2df3,gbp_jpy,replaced,1.000000,2.000000,2.730689,2.730689,64,12.715463
competition_gbp_jpy_london_first30_ny_open_momentum_weekday_side_3_short_d1634235,competition_gbp_jpy_london_first30_ny_open_momentum_weekday_side_3_short_d1634235,gbp_jpy,replaced,1.000000,2.000000,2.044440,2.044440,75,64.438197
competition_gbp_jpy_london_first30_ny_open_reversal_signalmonth_direction_opposite_entryminute_480_exi_d549e3a7,competition_gbp_jpy_london_first30_ny_open_reversal_signalmonth_direction_opposite_entryminute_480_exi_d549e3a7,gbp_jpy,replaced,1.000000,2.000000,2.598616,2.598616,59,46.415097
competition_gbp_jpy_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_945_ming_297a7a1d,competition_gbp_jpy_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_945_ming_297a7a1d,gbp_jpy,replaced,1.000000,2.000000,2.053985,2.053985,100,117.175010
competition_gbp_jpy_ny_open_gap_follow_month_9_eea6b89e,competition_gbp_jpy_ny_open_gap_follow_month_9_eea6b89e,gbp_jpy,replaced,1.000000,2.000000,2.151636,2.151636,68,53.398865
competition_gbp_jpy_us_first30_last30_momentum_weekday_side_2_long_461ef776,competition_gbp_jpy_us_first30_last30_momentum_weekday_side_2_long_461ef776,gbp_jpy,replaced,1.000000,2.000000,2.396708,2.396708,68,9.735648
competition_gbp_jpy_us_first30_last30_reversal_weekday_side_2_long_bfe5c772,competition_gbp_jpy_us_first30_last30_reversal_weekday_side_2_long_bfe5c772,gbp_jpy,replaced,1.000000,2.000000,2.337304,2.337304,118,21.433244
competition_gbp_usd_daily_tsmom_next_overnight_month_7_1cefc684,competition_gbp_usd_daily_tsmom_next_overnight_month_7_1cefc684,gbp_usd,replaced,1.000000,2.000000,2.217421,2.217421,88,172.489254
competition_gbp_usd_london_first30_last30_reversal_month_1_dc2945a5,competition_gbp_usd_london_first30_last30_reversal_month_1_dc2945a5,gbp_usd,replaced,1.000000,2.000000,2.039310,2.039310,80,16.195942
competition_gbp_usd_us_first30_last30_reversal_signalmonth_direction_opposite_entryminute_930_exitbarm_9b2547fb,competition_gbp_usd_us_first30_last30_reversal_signalmonth_direction_opposite_entryminute_930_exitbarm_9b2547fb,gbp_usd,replaced,1.000000,2.000000,2.514715,2.514715,57,11.308994
competition_gold_futures_daily_tsmom_next_overnight_signalweekdayside_direction_momentum_entryminute_9_c8e1caae,competition_gold_futures_daily_tsmom_next_overnight_signalweekdayside_direction_momentum_entryminute_9_c8e1caae,gold_futures,replaced,1.000000,2.000000,2.143666,2.143666,116,163.483464
competition_gold_futures_daily_tsmom_next_overnight_weekday_side_3_long_648d544b,competition_gold_futures_daily_tsmom_next_overnight_weekday_side_3_long_648d544b,gold_futures,replaced,1.000000,2.000000,2.247497,2.247497,79,177.804739
competition_gold_futures_us_first30_last30_reversal_weekday_side_0_long_c0163084,competition_gold_futures_us_first30_last30_reversal_weekday_side_0_long_c0163084,gold_futures,replaced,1.000000,2.000000,2.784599,2.784599,71,11.007439
competition_japanese_yen_futures_london_first30_ny_open_reversal_month_9_6d9e482f,competition_japanese_yen_futures_london_first30_ny_open_reversal_month_9_6d9e482f,japanese_yen_futures,replaced,1.000000,2.000000,2.116793,2.116793,69,48.513031
competition_japanese_yen_futures_overnight_close_to_open_bias_short_month_10_6bc43a25,competition_japanese_yen_futures_overnight_close_to_open_bias_short_month_10_6bc43a25,japanese_yen_futures,replaced,1.000000,2.000000,2.869072,2.869072,89,196.497591
competition_japanese_yen_futures_us_first30_last30_reversal_signalweekdayside_direction_opposite_entry_11a69e11,competition_japanese_yen_futures_us_first30_last30_reversal_signalweekdayside_direction_opposite_entry_11a69e11,japanese_yen_futures,replaced,1.000000,2.000000,4.349795,4.349795,75,20.981486
competition_micro_bitcoin_futures_daily_tsmom_next_overnight_signalweekdayside_direction_contrarian_en_6003fc2d,competition_micro_bitcoin_futures_daily_tsmom_next_overnight_signalweekdayside_direction_contrarian_en_6003fc2d,micro_bitcoin_futures,replaced,1.000000,2.000000,3.553443,3.553443,104,218.765132
competition_micro_bitcoin_futures_daily_tsmom_next_rth_weekday_side_2_short_4be5774f,competition_micro_bitcoin_futures_daily_tsmom_next_rth_weekday_side_2_short_4be5774f,micro_bitcoin_futures,replaced,1.000000,2.000000,2.355672,2.355672,101,182.256437
competition_micro_ether_futures_daily_tsmom_next_overnight_weekday_side_1_long_dc4c34f3,competition_micro_ether_futures_daily_tsmom_next_overnight_weekday_side_1_long_dc4c34f3,micro_ether_futures,replaced,1.000000,2.000000,3.949600,3.949600,105,253.926090
competition_micro_ether_futures_london_first30_ny_open_momentum_weekday_side_3_short_e779cb85,competition_micro_ether_futures_london_first30_ny_open_momentum_weekday_side_3_short_e779cb85,micro_ether_futures,replaced,1.000000,2.000000,3.566552,3.566552,53,69.578317
competition_micro_ether_futures_london_first30_ny_open_reversal_weekday_side_0_long_d64af48a,competition_micro_ether_futures_london_first30_ny_open_reversal_weekday_side_0_long_d64af48a,micro_ether_futures,replaced,1.000000,2.000000,3.058952,3.058952,44,41.160587
competition_nasdaq_100_futures_daily_tsmom_next_overnight_weekday_side_1_long_8e593f24,competition_nasdaq_100_futures_daily_tsmom_next_overnight_weekday_side_1_long_8e593f24,nasdaq_100_futures,replaced,1.000000,2.000000,2.519324,2.519324,83,87.912063
competition_nasdaq_100_futures_london_first30_ny_open_momentum_weekday_side_3_short_726e6c71,competition_nasdaq_100_futures_london_first30_ny_open_momentum_weekday_side_3_short_726e6c71,nasdaq_100_futures,replaced,1.000000,2.000000,2.014500,2.014500,109,117.310887
competition_natural_gas_futures_us_first30_last30_momentum_month_9_c678e3c1,competition_natural_gas_futures_us_first30_last30_momentum_month_9_c678e3c1,natural_gas_futures,replaced,1.000000,2.000000,3.104639,3.104639,56,8.614456
competition_new_zealand_dollar_futures_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exi_7ad85d81,competition_new_zealand_dollar_futures_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exi_7ad85d81,new_zealand_dollar_futures,replaced,1.000000,2.000000,2.069898,2.069898,79,62.419360
competition_new_zealand_dollar_futures_us_first30_last30_reversal_signalmonth_direction_opposite_entry_ce284576,competition_new_zealand_dollar_futures_us_first30_last30_reversal_signalmonth_direction_opposite_entry_ce284576,new_zealand_dollar_futures,replaced,1.000000,2.000000,3.449856,3.449856,48,11.289660
competition_nzd_usd_daily_tsmom_next_rth_signalmonth_direction_contrarian_entryminute_570_exitminute_9_183b1d88,competition_nzd_usd_daily_tsmom_next_rth_signalmonth_direction_contrarian_entryminute_570_exitminute_9_183b1d88,nzd_usd,replaced,1.000000,2.000000,2.382285,2.382285,100,138.981993
competition_nzd_usd_london_first30_ny_open_momentum_month_4_cfddb747,competition_nzd_usd_london_first30_ny_open_momentum_month_4_cfddb747,nzd_usd,replaced,1.000000,2.000000,2.112209,2.112209,102,91.462259
competition_nzd_usd_us_first30_midday_momentum_month_4_f022fff9,competition_nzd_usd_us_first30_midday_momentum_month_4_f022fff9,nzd_usd,replaced,1.000000,2.000000,2.161741,2.161741,73,25.008942
competition_russell_2000_futures_daily_tsmom_next_overnight_month_7_d15e8a17,competition_russell_2000_futures_daily_tsmom_next_overnight_month_7_d15e8a17,russell_2000_futures,replaced,1.000000,2.000000,2.555337,2.555337,81,85.318968
competition_russell_2000_futures_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarmi_801e97d2,competition_russell_2000_futures_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarmi_801e97d2,russell_2000_futures,replaced,1.000000,2.000000,2.853419,2.853419,59,49.068113
competition_silver_futures_daily_tsmom_next_overnight_weekday_side_1_long_f61a84dd,competition_silver_futures_daily_tsmom_next_overnight_weekday_side_1_long_f61a84dd,silver_futures,replaced,1.000000,2.000000,2.667724,2.667724,87,170.520194
competition_silver_futures_london_first30_ny_open_momentum_signalweekdayside_direction_same_entryminut_5ce60b39,competition_silver_futures_london_first30_ny_open_momentum_signalweekdayside_direction_same_entryminut_5ce60b39,silver_futures,replaced,1.000000,2.000000,2.201532,2.201532,80,92.147178
competition_silver_futures_london_first30_ny_open_momentum_weekday_side_0_short_7456f9c2,competition_silver_futures_london_first30_ny_open_momentum_weekday_side_0_short_7456f9c2,silver_futures,replaced,1.000000,2.000000,2.454070,2.454070,90,97.564276
competition_sp_500_futures_daily_tsmom_next_overnight_weekday_side_1_long_c8bb041e,competition_sp_500_futures_daily_tsmom_next_overnight_weekday_side_1_long_c8bb041e,sp_500_futures,replaced,1.000000,2.000000,2.728575,2.728575,82,91.893849
competition_sp_500_futures_daily_tsmom_next_overnight_weekday_side_2_short_af21c53b,competition_sp_500_futures_daily_tsmom_next_overnight_weekday_side_2_short_af21c53b,sp_500_futures,replaced,1.000000,2.000000,2.237155,2.237155,81,80.996533
competition_sp_500_futures_us_first30_last30_reversal_weekday_side_0_long_2b2acc93,competition_sp_500_futures_us_first30_last30_reversal_weekday_side_0_long_2b2acc93,sp_500_futures,replaced,1.000000,2.000000,2.662900,2.662900,59,33.831259
competition_swiss_franc_futures_overnight_close_to_open_bias_short_month_10_17716ea5,competition_swiss_franc_futures_overnight_close_to_open_bias_short_month_10_17716ea5,swiss_franc_futures,replaced,1.000000,2.000000,2.421766,2.421766,89,135.025424
competition_swiss_franc_futures_us_first30_midday_momentum_month_5_a2abc7dd,competition_swiss_franc_futures_us_first30_midday_momentum_month_5_a2abc7dd,swiss_franc_futures,replaced,1.000000,2.000000,2.339639,2.339639,91,31.514576
competition_us_treasury_10y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_7240deca,competition_us_treasury_10y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_7240deca,us_treasury_10y_note_futures,replaced,1.000000,2.000000,2.214323,2.214323,96,53.281884
competition_us_treasury_10y_note_futures_us_first30_last30_momentum_weekday_side_2_long_014bd88f,competition_us_treasury_10y_note_futures_us_first30_last30_momentum_weekday_side_2_long_014bd88f,us_treasury_10y_note_futures,replaced,1.000000,2.000000,2.078009,2.078009,105,20.470665
competition_us_treasury_2y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_e133c7a3,competition_us_treasury_2y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_e133c7a3,us_treasury_2y_note_futures,replaced,1.000000,2.000000,3.076242,3.076242,96,86.964056
competition_us_treasury_2y_note_futures_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_ex_d2289e05,competition_us_treasury_2y_note_futures_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_ex_d2289e05,us_treasury_2y_note_futures,replaced,1.000000,2.000000,2.215788,2.215788,62,36.332593
competition_us_treasury_2y_note_futures_us_first30_last30_momentum_signalweekdayside_direction_same_en_339e7451,competition_us_treasury_2y_note_futures_us_first30_last30_momentum_signalweekdayside_direction_same_en_339e7451,us_treasury_2y_note_futures,replaced,1.000000,2.000000,2.519809,2.519809,66,15.145571
competition_us_treasury_2y_note_futures_us_first30_last30_momentum_weekday_side_3_long_6989e3fd,competition_us_treasury_2y_note_futures_us_first30_last30_momentum_weekday_side_3_long_6989e3fd,us_treasury_2y_note_futures,replaced,1.000000,2.000000,2.101062,2.101062,91,15.690456
competition_us_treasury_30y_bond_futures_daily_tsmom_next_overnight_weekday_side_0_long_157ef9f4,competition_us_treasury_30y_bond_futures_daily_tsmom_next_overnight_weekday_side_0_long_157ef9f4,us_treasury_30y_bond_futures,replaced,1.000000,2.000000,2.014209,2.014209,75,90.334149
competition_us_treasury_30y_bond_futures_daily_tsmom_next_overnight_weekday_side_4_short_72a8080e,competition_us_treasury_30y_bond_futures_daily_tsmom_next_overnight_weekday_side_4_short_72a8080e,us_treasury_30y_bond_futures,replaced,1.000000,2.000000,2.240353,2.240353,96,57.042586
competition_us_treasury_5y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_6dc543f7,competition_us_treasury_5y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_6dc543f7,us_treasury_5y_note_futures,replaced,1.000000,2.000000,2.985631,2.985631,95,75.745028
competition_us_treasury_5y_note_futures_us_first30_last30_momentum_signalweekdayside_direction_same_en_1942c62b,competition_us_treasury_5y_note_futures_us_first30_last30_momentum_signalweekdayside_direction_same_en_1942c62b,us_treasury_5y_note_futures,replaced,1.000000,2.000000,2.883844,2.883844,74,22.741238
competition_us_treasury_5y_note_futures_us_first30_last30_momentum_signalweekdayside_direction_same_en_62e3b6d2,competition_us_treasury_5y_note_futures_us_first30_last30_momentum_signalweekdayside_direction_same_en_62e3b6d2,us_treasury_5y_note_futures,replaced,1.000000,2.000000,2.214931,2.214931,99,18.440939
competition_usd_cad_daily_tsmom_next_overnight_month_10_941ee263,competition_usd_cad_daily_tsmom_next_overnight_month_10_941ee263,usd_cad,replaced,1.000000,2.000000,2.103122,2.103122,89,81.815072
competition_usd_cad_daily_tsmom_next_overnight_signalmonth_direction_momentum_entryminute_945_exitminu_dca02dc1,competition_usd_cad_daily_tsmom_next_overnight_signalmonth_direction_momentum_entryminute_945_exitminu_dca02dc1,usd_cad,replaced,1.000000,2.000000,3.022206,3.022206,74,129.253263
competition_usd_cad_london_first30_ny_open_momentum_month_12_f0df56f8,competition_usd_cad_london_first30_ny_open_momentum_month_12_f0df56f8,usd_cad,replaced,1.000000,2.000000,2.776294,2.776294,79,134.747418
competition_usd_cad_us_first30_last30_momentum_signalmonth_direction_same_entryminute_930_exitbarminut_c1317995,competition_usd_cad_us_first30_last30_momentum_signalmonth_direction_same_entryminute_930_exitbarminut_c1317995,usd_cad,replaced,1.000000,2.000000,2.637082,2.637082,108,39.784694
competition_usd_cad_us_first30_midday_reversal_month_12_1f6382c6,competition_usd_cad_us_first30_midday_reversal_month_12_1f6382c6,usd_cad,replaced,1.000000,2.000000,2.192216,2.192216,61,26.817286
competition_usd_chf_daily_tsmom_next_overnight_month_12_4f2024c0,competition_usd_chf_daily_tsmom_next_overnight_month_12_4f2024c0,usd_chf,replaced,1.000000,2.000000,3.111397,3.111397,75,118.663482
competition_usd_chf_us_first30_midday_reversal_month_1_074f7113,competition_usd_chf_us_first30_midday_reversal_month_1_074f7113,usd_chf,replaced,1.000000,2.000000,2.500264,2.500264,110,44.369123
competition_usd_jpy_london_first30_ny_open_reversal_month_9_17887f0e,competition_usd_jpy_london_first30_ny_open_reversal_month_9_17887f0e,usd_jpy,replaced,1.000000,2.000000,2.158641,2.158641,68,47.917823
competition_usd_jpy_overnight_close_to_open_bias_long_month_10_06e957d5,competition_usd_jpy_overnight_close_to_open_bias_long_month_10_06e957d5,usd_jpy,replaced,1.000000,2.000000,2.668913,2.668913,89,177.845492
competition_usd_jpy_us_first30_last30_reversal_signalweekdayside_direction_opposite_entryminute_930_ex_40e6d9ae,competition_usd_jpy_us_first30_last30_reversal_signalweekdayside_direction_opposite_entryminute_930_ex_40e6d9ae,usd_jpy,replaced,1.000000,2.000000,3.984448,3.984448,74,17.147916
