market,symbol,phase,pip_or_tick_size,entry_rank,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,trades,wins,losses,win_rate_pct,profit_factor,avg_pips,signal_exit_trades,signal_exit_win_rate_pct,signal_exit_profit_factor,signal_exit_avg_pips
forex,USDCHF,momentum,0.0001,2,2.0,16,1.5,,,1,100,134,134,0,100.0,inf,1.0,134,85.82089552238806,2.890492152521914,10.820923134328357
forex,USDJPY,mean_reversion,0.01,1,2.0,6,0.75,-0.1,0.1,20,200,31,31,0,100.0,inf,17.293587096774264,31,93.54838709677419,9.433296969697023,17.9547612903226
forex,USDJPY,momentum,0.01,8,2.5,6,0.75,,,17,200,35,35,0,100.0,inf,15.771457142857152,35,80.0,1.837383226646662,13.668462857143027
futures,6A,mean_reversion,5e-05,1,2.0,24,2.0,-0.05,0.15,20,200,76,69,7,90.78947368421053,3.287634408602163,11.197368421052587,76,81.57894736842105,1.7328326180257452,8.986842105263072
futures,6A,momentum,5e-05,3,2.5,16,0.75,,,3,100,53,53,0,100.0,inf,3.0,53,84.90566037735849,2.708263069139957,19.113207547169672
futures,6B,mean_reversion,0.0001,5,1.5,10,0.75,0.0,0.15,5,100,49,49,0,100.0,inf,4.938775510204077,49,91.83673469387756,7.818965517241304,16.14285714285704
futures,6B,momentum,0.0001,1,2.5,10,0.75,,,11,100,55,52,3,94.54545454545455,5.287037037036982,8.418181818181814,55,81.81818181818183,2.64244186046511,10.272727272727234
futures,6C,mean_reversion,5e-05,1,3.0,6,,-0.1,0.1,2,200,63,63,0,100.0,inf,2.0,63,80.95238095238095,1.7875862068965305,9.063492063491875
futures,6C,momentum,5e-05,8,2.5,10,1.0,,,3,200,57,57,0,100.0,inf,3.0,57,78.94736842105263,2.0036363636363594,9.684210526315695
futures,6E,mean_reversion,5e-05,8,3.0,16,2.0,-0.05,0.15,4,100,34,34,0,100.0,inf,4.0,34,79.41176470588235,3.728571428571459,22.470588235294386
futures,6E,momentum,5e-05,4,1.5,10,0.75,,,2,200,102,102,0,100.0,inf,2.0,102,78.43137254901961,1.6773993808049643,10.725490196078557
futures,6J,mean_reversion,5e-07,7,2.0,24,0.75,-0.2,0.4,3,50,70,70,0,100.0,inf,3.0,70,81.42857142857143,1.6354838709677444,8.44285714285716
futures,6J,momentum,5e-07,2,2.5,24,1.0,,,5,200,47,47,0,100.0,inf,5.0,47,82.97872340425532,4.0386740331492,23.404255319149012
futures,CL,mean_reversion,0.01,4,3.0,24,,0.0,0.15,10,200,50,50,0,100.0,inf,10.0,50,68.0,1.912280701754385,23.92
futures,CL,momentum,0.01,4,3.0,6,0.75,,,5,200,40,40,0,100.0,inf,5.0,40,90.0,5.181208053691276,62.29999999999997
futures,ES,mean_reversion,0.25,1,1.5,10,0.75,-0.05,0.15,8,200,31,31,0,100.0,inf,8.0,31,87.09677419354838,4.588235294117647,53.12903225806452
futures,ES,momentum,0.25,7,2.5,16,0.75,,,16,200,53,53,0,100.0,inf,16.0,53,79.24528301886792,1.617862969004894,28.58490566037736
futures,GC,mean_reversion,0.1,1,2.5,6,2.0,-0.05,0.15,8,200,42,42,0,100.0,inf,8.0,42,88.09523809523809,1.8755733944954012,36.357142857142435
futures,GC,momentum,0.1,1,3.0,24,0.75,,,7,200,31,31,0,100.0,inf,7.0,31,70.96774193548387,1.1562991241859457,22.45161290322629
futures,HG,mean_reversion,0.0005,1,2.0,6,0.75,-0.1,0.1,26,100,30,30,0,100.0,inf,23.099999999999962,30,90.0,44.41666666666497,34.7333333333333
futures,HG,momentum,0.0005,7,2.0,16,0.75,,,4,200,80,80,0,100.0,inf,4.0,80,81.25,1.8709288299155613,18.050000000000022
futures,NG,mean_reversion,0.001,1,3.0,6,1.0,-0.2,0.4,11,200,53,51,2,96.22641509433963,2.7910447761194046,6.792452830188681,53,83.01886792452831,2.51231945624469,33.584905660377366
futures,NG,momentum,0.001,8,3.0,16,2.0,,,6,100,102,101,1,99.01960784313727,6.06,4.96078431372549,102,72.54901960784314,1.3757626178591236,13.284313725490188
futures,NQ,mean_reversion,0.25,8,3.0,24,0.75,-0.2,0.4,178,10,37,3,34,8.108108108108109,1.5705882352941176,5.243243243243243,37,89.1891891891892,3.2377165577960807,212.94594594594594
futures,NQ,momentum,0.25,8,2.0,10,0.75,,,186,41,47,14,33,29.78723404255319,1.9246119733924612,26.617021276595743,47,85.1063829787234,3.1813176729675168,252.89361702127658
futures,RTY,mean_reversion,0.1,2,2.5,6,2.0,-0.1,0.1,6,200,52,52,0,100.0,inf,6.0,52,88.46153846153845,5.094462540716595,72.51923076923075
futures,RTY,momentum,0.1,4,2.0,6,2.0,,,5,200,173,171,2,98.84393063583815,3.7831858407079797,3.6358381502890227,173,71.67630057803468,1.7117404129793485,34.867052023121325
futures,SI,mean_reversion,0.005,4,2.5,6,1.0,-0.1,0.25,3,100,49,49,0,100.0,inf,3.0,49,81.63265306122449,5.086776859504085,20.183673469387656
futures,SI,momentum,0.005,1,3.0,6,2.0,,,5,200,68,68,0,100.0,inf,5.0,68,77.94117647058823,2.4435936702399186,41.58823529411765
futures,YM,mean_reversion,1.0,1,2.0,24,1.5,-0.1,0.1,200,8,30,7,23,23.333333333333332,4.456521739130435,21.2,30,93.33333333333333,5.208128078817734,113.9
futures,YM,momentum,1.0,1,1.5,16,0.75,,,200,5,68,7,61,10.294117647058822,3.3311475409836064,10.455882352941176,68,92.64705882352942,8.249736564805058,101.17647058823529
futures,ZB,mean_reversion,0.03125,6,1.5,16,0.75,-0.05,0.15,2,50,33,33,0,100.0,inf,2.0,33,84.84848484848484,8.954545454545455,5.303030303030303
futures,ZB,momentum,0.03125,5,3.0,16,1.0,,,2,50,46,46,0,100.0,inf,2.0,46,84.78260869565217,4.5271317829457365,9.891304347826088
futures,ZN,mean_reversion,0.015625,4,2.5,24,0.75,-0.1,0.25,10,50,40,39,1,97.5,inf,7.75,40,95.0,32.5,7.875
futures,ZN,momentum,0.015625,6,2.5,6,1.0,,,3,100,53,52,1,98.11320754716981,9.75,2.641509433962264,53,81.13207547169812,1.7906137184115523,4.132075471698113
gold_spot,XAUUSD,mean_reversion,0.01,4,2.0,16,0.75,-0.05,0.15,5,517,41,41,0,100.0,inf,5.0,41,90.2439024390244,2.44009556601784,499.85365853658215
gold_spot,XAUUSD,momentum,0.01,5,2.5,16,,,,682,5,261,7,254,2.681992337164751,3.7590551181102363,13.425287356321839,261,72.03065134099617,1.0366193925375855,34.575862068965066
